|lemma|lemma_correct
875.0|Militanz|die Militanz
904.0|alles|alles
919.0|langsam|langsam
922.0|knapp|knapp
924.0|Club|der Club
929.0|ziemlich|ziemlich
930.0|klar|klar
931.0|verpassen|verpassen
933.0|hundertachtzig|hundertachtzig
936.0|Stadt|die Stadt
937.0|Balancier|Balancier
938.0|besaufen|besaufen
941.0|Dach|das Dach
943.0|Woche|die Woche
944.0|wach|wach
945.0|tausend|tausend
946.0|Flasche|die Flasche
947.0|Schnaps|der Schnaps
950.0|kommen|kommen
953.0|Freitagnacht|die Freitagnacht
957.0|passen|passen
958.0|Früh|die Früh
958.001|Früh|der Früh
958.002|Früh|das Früh
960.0|Bett|das Bett
961.0|gehen|gehen
965.0|Samstag|der Samstag
970.0|anfangen|anfangen
973.0|einfach|einfach
976.0|Wochenende|das Wochenende
979.0|easy|easy
990.0|ironisch|ironisch
992.0|Spießigkeit|die Spießigkeit
994.0|pro|pro
995.0|Gemütlichkeit|die Gemütlichkeit
997.0|beginnen|beginnen
999.0|harmlos|harmlos
1002.0|Spieleabend|der Spieleabend
1004.0|enden|enden
1009.0|irgendwann|irgendwann
1013.0|spät|spät
1014.0|um|um
1016.0|früh|früh
1017.0|draufgehen|draufgehen
1022.0|alt|alt
1026.0|jung|jung
1028.0|sterben|sterben
1032.0|versuchen|versuchen
1049.0|genug|genug
1052.0|wohnen|wohnen
1053.0|außerhalb|außerhalb
1056.0|wegen|wegen
1058.0|Kind|das Kind
1060.0|Gegend|die Gegend
1066.0|klappen|klappen
1071.0|ewig|ewig
1076.0|Grillfest|Grillfest
1077.0|Hochzeit|die Hochzeit
1078.0|Klassentreffen|das Klassentreffen
1079.0|Weinverkostung|die Weinverkostung
1080.0|Blei|das Blei
1080.001|Blei|der Blei
1081.0|gießen|gießen
1083.0|Silvester|der Silvester
1083.001|Silvester|das Silvester
1084.0|Kassenbon|der Kassenbon
1085.0|statt|statt
1090.0|international|international
1091.0|für|für
1093.0|Bayer|der Bayer
1098.0|bis|bis
1100.0|Fanmeile|die Fanmeile
1102.0|mehr|mehr
1103.0|all|all
1105.0|weit|weit
1110.0|Politik|die Politik
1111.0|da|da
1112.0|streiten|streiten
1117.0|Freund|der Freund
1121.0|bekannt|bekannt
1169.0|beinahe|beinahe
1170.0|dreißig|dreißig
1176.0|Phase|die Phase
1180.0|vorbei|vorbei
1197.0|klein|klein
1198.0|bisschen|bisschen
1199.0|neidisch|neidisch
1201.0|wünschen|wünschen
1204.0|heimlich|heimlich
1208.0|Haus|das Haus
1210.0|Grün|das Grün
1212.0|fehlen|fehlen
1221.0|Bühne|die Bühne
1226.0|Bock|der Bock
1226.001|Bock|das Bock
1228.0|dieser|dieser
1230.0|Quatsch|der Quatsch
1237.0|gar|gar
1240.0|scheiße|scheiße
1242.0|Rest|der Rest
1247.0|Baum|der Baum
1248.0|hinunter|hinunter
1252.0|hinauf|hinauf
1257.0|Energiesparhaus|Energiesparhaus
1260.0|Evolution|die Evolution
1263.0|Lauf|der Lauf
1264.0|heute|heute
1268.0|König|der König
1271.0|lange|lange
1273.0|satt|satt
1277.0|planen|planen
1281.0|breit|breit
1293.0|platt|platt
1296.0|Wald|der Wald
1298.0|singen|singen
1300.0|Chor|der Chor
1300.001|Chor|das Chor
1302.0|vorgehen|vorgehen
1306.0|bitte|bitte
1311.0|Krone|die Krone
1313.0|Schöpfung|die Schöpfung
1314.0|na|na
1319.0|nach|nach
1322.0|Sintflut|die Sintflut
1330.0|Hut|der Hut
1330.001|Hut|die Hut
1340.0|Pech|das Pech
1343.0|Tier|das Tier
1344.0|alleine|alleine
1346.0|arm|arm
1347.0|Schwein|das Schwein
1349.0|echt|echt
1355.0|Kernkraft|die Kernkraft
1356.0|erfinden|erfinden
1359.0|Fernsehprogramm|das Fernsehprogramm
1360.0|Kaffeevollautomat|Kaffeevollautomat
1365.0|geil|geil
1367.0|als|als
1376.0|Überschall|der Überschall
1377.0|reisen|reisen
1379.0|Berufsverkehr|der Berufsverkehr
1380.0|stehen|stehen
1381.0|schwarz|schwarz
1383.0|beweisen|beweisen
1388.0|verstehen|verstehen
1391.0|aller|aller
1392.0|Gebiet|das Gebiet
1394.0|Crème|die Crème
1395.0|la|la
1399.0|Ozean|der Ozean
1405.0|einbilden|einbilden
1454.0|fragen|fragen
1462.0|Problem|das Problem
1465.0|Fehler|der Fehler
1468.0|Matrix|die Matrix
1471.0|System|das System
1473.0|herrschen|herrschen
1474.0|während|während
1476.0|Planet|der Planet
1478.0|Flamme|die Flamme
1577.0|üben|üben
1579.0|Sand|der Sand
1583.0|schmeißen|schmeißen
1586.0|egal|egal
1591.0|drauf|drauf
1593.0|scheißen|scheißen
1594.0|Abrakadabra|das Abrakadabra
1595.0|dreimal|dreimal
1597.0|Kater|der Kater
1598.0|Spielen|das Spielen
1606.0|aufwachsen|aufwachsen
1608.0|eine|eine
1609.0|Lebenswelt|die Lebenswelt
1613.0|Jung|Jung
1615.0|rosa|rosa
1616.0|Kleidung|die Kleidung
1617.0|tragen|tragen
1618.0|gleich|gleich
1620.0|Mädchen|das Mädchen
1621.0|halten|halten
1626.0|dagegen|dagegen
1632.0|Geburtstag|der Geburtstag
1635.0|Sprechstundenhilfe|die Sprechstundenhilfe
1639.0|Oberarzt|der Oberarzt
1644.0|weiter|weiter
1647.0|wohin|wohin
1652.0|leiten|leiten
1654.0|Erzieherin|die Erzieherin
1655.0|erziehen|erziehen
1657.0|spielen|spielen
1662.0|eigentlich|eigentlich
1672.0|sollen|sollen
1675.0|erklären|erklären
1680.0|paar|paar
1681.0|Unterschied|der Unterschied
1686.0|lassen|lassen
1690.0|unterliegen|unterliegen
1691.0|ob|ob
1693.0|studieren|studieren
1695.0|ackern|ackern
1697.0|Bau|der Bau
1700.0|weniger|weniger
1701.0|verdienen|verdienen
1712.0|wo|wo
1713.0|liegen|liegen
1720.0|oben|oben
1725.0|runterziehen|runterziehen
1739.0|darüber|darüber
1744.0|unbeliebt|unbeliebt
1759.0|Wunder|das Wunder
