|word|lemma
2714|Alli-alligatoah|der Alli-alligatoah
2718|Alli-Alligatoah|der Alli-Alligatoah
2736|Kauz-Charakter|der Kauz-Charakter
2763|Kommerz-faschist|der Kommerz-Faschist
2765|Zwerg-Kanickel|das Zwerg-Kaninchen
2778|Sturmmasken-Bildner|der Sturmmasken-Bildner
2826|Gilette-Wachs|das Gilette-Wachs
2830|Jalousie-bedeckter|jalousie-bedeckt
2857|Gucklöchern|die Gucklöcher
2859|KO-Tropfen|die KO-Tropfen
2918|Rolls-Royce-Kühlerfigur|die Rolls-Royce-Kühlerfigur
2930|Harmonia|die Harmonia
2933|44|vierundvierzig
3010|Peut-être|-
3018|125|einhundertfünfundzwanzig
3110|LEGO-Face|das LEGO-Face
3111|YouTuber-Look|der YouTuber-Look
3135|Luxus-Modemesse|die Luxus-Modemesse
3158|Designerjacken|die Designerjacken
3206|co-abhängig|co-abhängig
3289|Bienen-Metapher|die Bienen-Metapher
3304|Krav-Maga-Handkante|die Krav-Maga-Handkante
3324|550|fünfhundertfünfzig
3358|3700|dreitausendsiebenhundert
3359|Gucci-Hemd|das Gucci-Hemd
3364|Boots|die Boots
3365|1500|eintausendfünfhundert
3378|Jean|der Jean
3450|Tuk-Tuk|das Tuk-Tuk
3460|Wii|die Wii
3469|Sisyphos|der Sisyphos
3471|Mittelklasse-Wagen|der Mittelklasse-Wagen
3474|Hermes|der Hermes
3484|Sisypho|der Sisypho
3513|Teufelskreisverkehr|der Teufelskreisverkehr
3519|Plattenvertrag|der Plattenvertrag
3526|glück-|glück-
3535|Dieselaggregat|das Dieselaggregat
3542|Crystal|das Crystal
3543|Meth|das Meth
3546|Schiffsturbine|die Schiffsturbine
3547|Gestopfte|gestopft
3553|Gästelistenplatz|der Gästelistenplatz
3573|Notsignalrakete|die Notsignalrakete
3583|Talkshowgast|der Talkshowgast
3590|when|-
3592|ends|-
3593|verschlieren|verschlieren
3596|2020|zweitausendzwanzig
3598|Billie|der Billie
3604|Irankrieg|der Irankrieg
3606|Sidney|die Sidney
3609|Dschungelcamp|das Dschungelcamp
3613|Erfurt|das Erfurt
3614|Hanau|das Hanau
3622|Lieblings-Virologe|der Lieblings-Virologe
3624|Lufthansa|die Lufthansa
3630|Kobe|der Kobe
3633|Fuck|das Fuck
3639|TAZ|die TAZ
3643|Ends|-
3644|When|-
3651|Zenith|der Zenith
3659|Einem|einer
