title|author
Wir rufen Dich, Galaktika|Dota Kehr, Francesco Wilking
Wie weit ist es bis zum Horizont|Knorkator
Keine Zeit|Dota Kehr
Verrückt|ok.danke.tschüss
Tragödie vom Rest der Band|Das Lumpenpack
Ode an Horst|Systemabsturz
Rocking in Wien|Wanda
Das mit uns könnte was werden|Max Raabe, Palast Orchester, Peter Plate
Viel Spass|Olan!, Faber
Ein Schlaflied für Aufgewachte|Das Lumpenpack
Grenzen|Dota Kehr
Bye Bye|Juse Ju
Kleine Lügen|Max Raabe
Der letzte Kaiser|Wiener Blond
Boot Fahren - Sommer-Rebellen Original Soundtrack|Dota Kehr
Ich bin leider schuld|Dota Kehr
Schwerelos|Heldmaschine
Ich küss dich tot|Schnipo Schranke
Scheitern|Uta Köbernick
Julinacht an der Gedächtniskirche|Dota Kehr
Lied ohne Grenzen|Jakob Heymann
Raketenstart|Dota Kehr
Mann gegen Mann|Rammstein
Alles für die Kinder|Till Lindemann
Ich hasse Kinder|Till Lindemann
Platz Eins|Lindemann
Sport frei|Till Lindemann
Übers Meer|Till Lindemann
Aurélie|Wir sind Helden
NOISE|Die Ärzte
Junge|Haller
Ein andermal|Nun flog Dr. Bert Rabe
Ich hasse euch alle gleich|Timi Hendrix
Rosenmann|Rakede
Im Walzerschritt Fahrradfahren|Marlo Grosshardt
Haifisch|Rammstein
Schiffsverkehr|Herbert Grönemeyer
G-Spot Michael|Lindemann
Lied vom Pferd|Knorkator
Steh auf|Lindemann
Böse|Knorkator
Katjusha|Die Habenichtse
Radioaktiv|Völkerball
Das Narrenschiff|Harms & Kapelle, Le Comte Caspar
Warum|Knorkator
Im Wagen vor mir|Betontod
Freiheitstanz|Die Habenichtse
Drei Zimmer, Küche, Ork|Jan Hegenberg
Der Luftschiffharpunist|Coppelius
Mein Stammbaum ist ein Kreis|Knasterbart
Depressive Bären|Hasenscheisse
Dämon|Knorkator
Bierzeps|Die Habenichtse
Hegendary|Jan Hegenberg
A-Moll|Hasenscheisse
Das Niveau|Das Niveau, Hasenscheisse
Kinderlied|Knorkator
Dusche|Farin Urlaub
Du bist so still|Knorkator
Bartöl, Bier und gegrilltes Fleisch|Jan Hegenberg
Zusammen Allein|Schöngeist
Kneipenschlägerei|Knasterbart
Herz und Faust|Weena Morloch
®|Heldmaschine
Kleinstadtboy|OOMPH!
Dein Weg|OOMPH!
Fahrrad|Swiss & Die Andern, 257ers
Trauerfeier Lied|Alligatoah
Unsere Fans|Kraftklub
Strassenbande 666|Hämatom
