|lemma|lemma_correct
23885.0|Not|die Not
23899.0|Flatscreen|der Flatscreen
23906.0|brennend|brennend
23907.0|Karre|die Karre
23919.0|Jesus|Jesus
23974.0|power|power
23980.0|verantwortlich|verantwortlich
24018.0|höchstens|höchstens
24046.0|To|die To
24046.001|To|das To
24084.0|Rotweinglas|das Rotweinglas
24141.0|Leon|Leon
24144.0|Löwe|der Löwe
24151.0|Raubtier|das Raubtier
24154.0|Bizeps|der Bizeps
24160.0|Einkaufsmeile|Einkaufsmeile
24161.0|unsicher|unsicher
24162.0|Maria|Maria
24167.0|überfällig|überfällig
24170.0|Sternzeichen|das Sternzeichen
24171.0|Jungfrau|die Jungfrau
24176.0|siebenstellig|siebenstellig
24200.0|Mathematiker|der Mathematiker
24202.0|klären|klären
24282.0|leasen|leasen
24292.0|Trading|Trading
24302.0|arbeiten|arbeiten
24307.0|FC|der FC
24308.0|Bayern|Bayern
24309.0|München|München
24311.0|Dividende|die Dividende
24320.0|erben|erben
24337.0|spiegeln|spiegeln
24344.0|meinetwegen|meinetwegen
24347.0|Spitze|die Spitze
24377.0|Halleluja|das Halleluja
24378.0|halleluja|halleluja
24480.0|wild|wild
24544.0|bejahen|bejahen
24546.0|bewundern|bewundern
24571.0|Spiritus|der Spiritus
24580.0|Genie|das Genie
24582.0|erstrahlen|erstrahlen
24586.0|Marie|die Marie
24587.0|Curie|das Curie
24590.0|Kategorie|die Kategorie
24591.0|Basiswissen|Basiswissen
24592.0|Chemie|die Chemie
24652.0|Betrachtung|die Betrachtung
24662.0|Gruppe|die Gruppe
24738.0|Sonntag|der Sonntag
24745.0|Besonderes|das Besonderes
24757.0|Treffen|das Treffen
24762.0|Nichte|die Nichte
24765.0|vierzig|vierzig
24808.0|gespannt|gespannt
24833.0|eskalieren|eskalieren
24854.0|Onkel|der Onkel
24856.0|besoffen|besoffen
24858.0|Exfrau|die Exfrau
24859.0|kritisieren|kritisieren
24873.0|Verwandtschaft|die Verwandtschaft
24874.0|ausrasten|ausrasten
24880.0|Opa|der Opa
24881.0|raushauen|raushauen
24890.0|Tante|die Tante
24896.0|Verschwörungstheorie|die Verschwörungstheorie
24943.0|Anfang|der Anfang
24966.0|Schwager|der Schwager
24975.0|Graf|der Graf
24978.0|Feier|die Feier
24981.0|Nachbar|der Nachbar
24984.0|Garten|der Garten
24996.0|antanzen|antanzen
25054.0|gewohnt|gewohnt
25068.0|hauen|hauen
25170.0|Küssen|das Küssen
25185.0|Samstagabend|der Samstagabend
25242.0|anlassen|anlassen
25257.0|Schönes|das Schönes
25292.0|Konsens|der Konsens
25457.0|schwierig|schwierig
25461.0|Kindheit|die Kindheit
25469.0|Aperitif|der Aperitif
25473.0|still|still
25488.0|vietnamesisch|vietnamesisch
25503.0|Päckchen|das Päckchen
25512.0|Alkohol|der Alkohol
25516.0|verklagen|verklagen
25526.0|Paragraph|der Paragraph
25552.0|Hexenkunst|die Hexenkunst
25554.0|Einsicht|die Einsicht
25558.0|Besserung|die Besserung
25564.0|Störung|die Störung
25572.0|Persönlichkeit|die Persönlichkeit
25578.0|durchmachen|durchmachen
25592.0|meckern|meckern
25600.0|pubertär|pubertär
25654.0|Gebäude|das Gebäude
25665.0|häuslich|häuslich
25671.0|Poesie|die Poesie
25681.0|Tweet|der Tweet
25681.001|Tweet|das Tweet
25688.0|Kafka|Kafka
25699.0|subtil|subtil
25702.0|Nacken|der Nacken
25710.0|Ruhe|die Ruhe
25718.0|Pappe|die Pappe
25733.0|Los|das Los
25737.0|Ton|der Ton
25741.0|mega|mega
25745.0|Wunde|die Wunde
25746.0|klaffen|klaffen
25747.0|aua|aua
25751.0|erschaffen|erschaffen
25758.0|Grundschulklasse|Grundschulklasse
25764.0|Zeile|die Zeile
25767.0|Bewerbungsschreiben|das Bewerbungsschreiben
25776.0|schweigen|schweigen
25780.0|schuld|schuld
25784.0|Schatz|der Schatz
25792.0|Flecke|Flecke
25802.0|fröhlich|fröhlich
25805.0|unhöflich|unhöflich
25856.0|Riesenerfolg|der Riesenerfolg
25878.0|unterwegs|unterwegs
25891.0|Entscheidung|die Entscheidung
