global                                                   |всемирный, мировой                                                                                                                                                  | ~ search of a file — глобальный поиск файла (поиск среди всех файлов)
element                                                  |элемент                                                                                                                                                             | chemical ~s — химические элементы basic / essential / vital ~ — важный элемент, важная, основная черта
hall                                                     |зал, передняя, холл                                                                                                                                                 | 
glare                                                    |ослепительный свет, свирепый взгляд, ослепительно светить, свирепо смотреть                                                                                         | 
status                                                   |общественное положение, положение в обществе, статус                                                                                                                | social ~ — социальное положение legal ~ — правовой статус
client                                                   |клиент                                                                                                                                                              | 
solution                                                 |решение, разрешение (проблемы и т. п.), разъяснение                                                                                                                 | easy ~ — простое решение ideal ~ — идеальное решение satisfactory ~ — удовлетворительное решение
backward (тж. ~s)                                        |обратный, отсталый, назад, наоборот                                                                                                                                 | 
necessary                                                |необходимый                                                                                                                                                         | 
mistake (mistook, mistaken)                              |ошибка, ошибаться                                                                                                                                                   | It was a ~ to appoint him manager — Назначение его менеджером было ошибкой
despite                                                  |несмотря на, вопреки                                                                                                                                                | 
demand                                                   |требование, нужда, требовать, нуждаться                                                                                                                             | 
contact                                                  |контакт, связь, связаться                                                                                                                                           | 
