global                                                   |всемирный, мировой                                                                                                                                                  | ~ search of a file — глобальный поиск файла (поиск среди всех файлов)
flesh                                                    |тело, плоть                                                                                                                                                         | 
diet                                                     |питание, пища, еда, корм, диета                                                                                                                                     | reducing ~ — диета для снижения веса
arrest                                                   |арест, арестовывать                                                                                                                                                 | 
brand                                                    |сорт, качество, марка, ставить клеймо                                                                                                                               | 
brush                                                    |щетка, кисть, чистить (щеткой)                                                                                                                                      | 
funding                                                  |консолидирование долга, субсидирование, финансирование                                                                                                              | 
unconscious                                              |не сознающий, бессознательный                                                                                                                                       | 
locker                                                   |(запирающийся) шкафчик, ящик (в раздевалке и т.п.)                                                                                                                  | 
therapy                                                  |мед. лечение, терапия                                                                                                                                               | 
tunnel                                                   |тоннель                                                                                                                                                             | 
cabin                                                    |кабина, каюта                                                                                                                                                       | 
purchase                                                 |покупка, закупка, купля                                                                                                                                             | ~ and sale — купля и продажа ~ on credit / for cash — покупка в кредит / за наличные (деньги) to make some ~s — делать покупки, закупаться
float                                                    |плавать (на поверхности), парить, плыть                                                                                                                             | 
housing                                                  |размещение, расселение, предоставление жилья                                                                                                                        | One problem we both have is of course that of ~ — Проблема, которая есть у нас обоих, - это, конечно, жилищные условия
gene                                                     |биол. ген                                                                                                                                                           | 
regarding                                                |относительно, касательно                                                                                                                                            | ~ your proposal — что касается вашего предложения
hurry                                                    |спешка, спешить                                                                                                                                                     | 
tension                                                  |напряженность                                                                                                                                                       | ~ of the muscles — напряжение мускулов the ~ slowly drained from his face — его лицо постепенно утрачивало напряжённое выражение international ~ — международная напряжённость feeling of ~ — чувство неловкости
frantically                                              |неистово                                                                                                                                                            | Our philosopher was heartily and even ~ in love — Наш философ был сильно и даже неистово влюблён They worked ~ to finish on time - Они яростно работали чтобы закончить вовремя
visual                                                   |зрительный, относящийся к зрению                                                                                                                                    | ~ image — зрительный образ ~ memory — зрительная память
explanation                                              |объяснение                                                                                                                                                          | 
robe                                                     |халат, мантия                                                                                                                                                       | 
twelve                                                   |12                                                                                                                                                                  | 
whirl                                                    |вертеть(ся)                                                                                                                                                         | the leaves ~ed in the wind — листья кружились на ветру a ~ of dust — вихрь пыли his brain was in a ~ — он не мог собраться с мыслями
violent                                                  |интенсивный, сильный, резкий                                                                                                                                        | ~ colour — яркий цвет ~ heat — ужасная жара ~ light — яркий свет ~ disease — тяжёлая болезнь
fumble                                                   |нащупывать, шарить, неловко обращаться (с)                                                                                                                          | "to ~ in one's pocket for a pen — шарить у себя в кармане в поисках ручки to ~ with a lock — возиться с замком to ~ at a knot — безуспешно пытаться развязать узел to ~ excuses — пробормотать что-то в своё оправдание"
mount                                                    |холм, гора                                                                                                                                                          | 
headlight                                                |фара (автомобиля)                                                                                                                                                   | 
probe                                                    |зонд, исследовать                                                                                                                                                   | 
perceive                                                 |воспринимать, понимать, осознавать, постигать                                                                                                                       | The truth as I ~ it — Правда, как я её понимаю to ~ colours — различать цвета
shower                                                   |ливень, душ, обилие, литься, заваливать                                                                                                                             | 
comparison                                               |сопоставление, сравнение                                                                                                                                            | there is no ~ between them — невозможно их сравнивать
secure                                                   |спокойный, уверенный, безопасный, охранять, закреплять                                                                                                              | "~ from / against attack — защищённый от нападения ~ investment — надёжное помещение капитала to ~ one's life — защищать свою жизнь"
mist                                                     |туман (легкий), дымка                                                                                                                                               | 
settlement                                               |колония, поселение                                                                                                                                                  | 
layer                                                    |слой, пласт, прослойка, прокладка                                                                                                                                   | ozone ~ — озоновый слой a thin ~ of oil on the surface of the water — тонкая нефтяная плёнка на поверхности воды
seventeen                                                |17                                                                                                                                                                  | 
snarl                                                    |рычание, рычать                                                                                                                                                     | "the dog ~s at strangers — собака рычит на посторонних (NAmE) a ~ in traffic — затор в уличном движении to ~ one's hair — спутать волосы to ~ a simple problem — запутать /осложнить/ простой вопрос"
staircase                                                |лестница, лестничный марш                                                                                                                                           | 
balcony                                                  |балкон                                                                                                                                                              | 
sentence                                                 |грам. предложение, приговор, осуждать, приговаривать                                                                                                                | 
description                                              |составление описания, описание (событий), версия (происходящего)                                                                                                    | clear ~ — чёткое описание detailed / thorough ~ — подробное описание
trace                                                    |след, прослеживать                                                                                                                                                  | Syn: track, trail Finally, and mysteriously, she disappeared without a ~ — В конце концов, она таинственно исчезла, не оставив никаких следов With his finger, he ~ed out the shape of the buildings in the sand — Он пальцем на песке набросал проект зданий to ~ the inheritance back through the male line of ancestors — проследить порядок наследования по мужской линии предков
besides                                                  |кроме, кроме того, помимо того, также, вдобавок к тому                                                                                                              | nothing ~ — только это и ничего больше It is too late. ~, I am tired — слишком поздно, и, кроме того, я устал I want nothing ~ this — я ничего не хочу, кроме этого ~ the fact that — не считая того, что …
schedule                                                 |расписание, график, составлять расписание, планировать                                                                                                              | 
aircraft                                                 |самолет, самолеты, авиация (мн. ч. без измен.)                                                                                                                      | 
slight                                                   |легкий, слабый, незначительный, худощавый                                                                                                                           | 
portion                                                  |доза, порция, часть                                                                                                                                                 | 
terror                                                   |ужас, страх, террор                                                                                                                                                 | 
territory                                                |территория, земля, местность, область                                                                                                                               | to annex ~ — аннексировать, присоединять территорию to occupy ~ — занимать территорию
rob                                                      |грабить, обкрадывать                                                                                                                                                | 
fake                                                     |подделка, фальшивка, подделывать                                                                                                                                    | 
opponent                                                 |противник, противная сторона, соперник                                                                                                                              | 
curb                                                     |узда, сдерживание, обочина, край тротуара                                                                                                                           | 
ultimate                                                 |последний, конечный, завершающий, окончательный                                                                                                                     | The ~ goal of all our investigations and observations — Конечная цель всех наших исследований и наблюдений ~ result — окончательный результат
gang                                                     |группа, бригада, банда                                                                                                                                              | 
transform                                                |видоизменять, придавать иную форму                                                                                                                                  | The larva then ~s to a pupa — Затем личинка превращается в куколку
deserve                                                  |заслуживать                                                                                                                                                         | to ~ punishment [attention, a reward] — заслуживать наказания [внимания, награды] it is more than I ~ — я этого не заслужил
inform                                                   |информировать                                                                                                                                                       | 
terminal                                                 |конец, конечная станция, конечный                                                                                                                                   | 
consist                                                  |(~ in) заключаться в чём-л., (~ of) состоять, быть составленным из (чего-л. / кого-л.)                                                                              | The beauty of this picture ~s in its balance of colours — Красота этой картины заключается в удивительной сбалансированности цветовой гаммы A cricket team ~ of eleven players — Крикетная команда состоит из одиннадцати игроков
alcohol                                                  |алкоголь, спирт                                                                                                                                                     | 
enable                                                   |давать возможность, право (что-л. сделать). включать, запускать в работу (какое-л. устройство)                                                                      | software that ~s the keyboard — программное обеспечение, отвечающее за работу клавиатуры Insulin ~s the body to use and store sugar — Инсулин позволяет организму перерабатывать и накапливать сахар
pure                                                     |чистый, без примеси                                                                                                                                                 | 
bench                                                    |скамейка                                                                                                                                                            | 
senator                                                  |сенатор                                                                                                                                                             | 
winder                                                   |сильный удар, особ. в солнечное сплетение , нечто, захватывающее дух                                                                                                | 
hip                                                      |бедро возле тазобедренного сустава                                                                                                                                  | вывихнуть или повредить бедро
burst (burst, burst)                                     |взрываться, лопаться, вспышка, взрыв                                                                                                                                | a ~ of a shell — разрыв снаряда a ~ of flame — вспышка огня ~ of speed — резкое увеличение скорости if you eat much more you will ~ — если ты ещё будешь есть, ты лопнешь
desert                                                   |пустыня, пустынный район                                                                                                                                            | 
violet                                                   |фиалка, фиолетовый                                                                                                                                                  | 
batter                                                   |сильно бить, колотить, разбиваться, биться                                                                                                                          | to ~ at the door — колотить в дверь the boat was ~ed to pieces by the waves — волны разбили лодку вдребезги
error                                                    |заблуждение, оплошность, ошибка                                                                                                                                     | through a clerical ~ — из-за канцелярской ошибки to correct / rectify an ~ — устранять, исправлять ошибку
silhouette                                               |силуэт, вырисовываться (на фоне чего-л.)                                                                                                                            | 
platform                                                 |платформа, перрон (бр.), помост, сцена                                                                                                                              | an oil/gas ~ - нефтяная/газовая платформа
assure                                                   |уверять, заверять                                                                                                                                                   | he ~s me of his innocence — он уверяет меня, что невиновен he ~s me that I am mistaken — он доказывает мне, что я ошибаюсь before going to bed she ~ed herself that the door was locked — прежде чем лечь спать, она проверила, заперта ли дверь to ~ good work — гарантировать хорошую работу
grind (ground, ground)                                   |молоть, толочь, шлифовать, разг. зубрить, тяжёлая, однообразная, скучная работа                                                                                     | do you find this work a ~? — ты считаешь эту работу скучной и однообразной? learning this text is a ~ — этот текст приходится зубрить to ~ flour [coffee] — молоть муку [кофе] to ~ the teeth — скрежетать зубами
lunge                                                    |выпад, прыжок вперед, делать выпад, бросок вперед                                                                                                                   | 
rope                                                     |веревка, канат, трос                                                                                                                                                | 
slump                                                    |большое количество, резкое или внезапное падение, внезапно падать                                                                                                   | a ~ in oil — резкое падение цен на нефть the price ~ed to $50 — цена упала до пятидесяти долларов
cautiously                                               |осторожно                                                                                                                                                           | Syn: carefully
preserve                                                 |сохранять, сберегать варенье, джем, конфитюр, консерва, амер. охотничий или рыболовный заповедник, заказник                                                         | These fine old houses should be ~ed for the future — Эти красивые старые дома надо сохранить для будущих поколений
scrape                                                   |скоблить, скрести                                                                                                                                                   | "to give a carrot a ~ — почистить морковь to give one's hand a ~ — поцарапать руку a ~ of a chair — скрип стула to ~ a dish [a plate] — очистить блюдо [тарелку], съесть всё до капли"
formal                                                   |официальный, относящийся к внешней стороне (вопроса, проблемы), формальный                                                                                          | 
embrace                                                  |объятие, объятия, обнимать(ся)                                                                                                                                      | Syn: hug
transition                                               |перемещение, переход                                                                                                                                                | ~ period — переходный период
naked                                                    |обнаженный                                                                                                                                                          | 
barrel                                                   |бочка, баррель                                                                                                                                                      | 
existence                                                |существование, жизнь, бытие                                                                                                                                         | struggle for ~ — борьба за существование
pal                                                      |товарищ, приятель                                                                                                                                                   | we are great ~s — мы большие друзья to make a ~ of smb — подружиться с кем-л. I ~ed in with some older hands at the game — я подружился с ребятами, давно занимающимися этим дельцем
honest                                                   |честный                                                                                                                                                             | 
album                                                    |альбом                                                                                                                                                              | 
arch                                                     |арка, свод, дуга, перекрывать сводом, выгибать                                                                                                                      | 
dull                                                     |тусклый, тупой, скучный, утомлять, затуплять                                                                                                                        | ~ brain /intelligence/ — тупоумие ~ curiosity — тупое любопытство ~ with drinking — отупевший от пьянства ~ landscape — унылый пейзаж it is deadly ~ here — здесь страшная скукотища
participation                                            |участие, соучастие                                                                                                                                                  | 
gale                                                     |сильный ветер, шторм                                                                                                                                                | stiff /hard/ ~ — сильный ветер, буря strong ~ — шторм (9 баллов) whole ~ — сильный шторм (10 баллов)
annoy                                                    |надоедать, раздражать                                                                                                                                               | 
toy                                                      |игрушка                                                                                                                                                             | 
cycle                                                    |цикл, (хронологический) период                                                                                                                                      | 
hick                                                     |презр. провинциал, деревенщина                                                                                                                                      | ~ town — провинциальный городишко
inner                                                    |внутренний                                                                                                                                                          | ~ door [part] — внутренняя дверь [часть] ~ voice — внутренний голос ~ thoughts — сокровенные мысли the ~ man — а) душа, внутреннее «я»; б) шутл. желудок to satisfy the ~ man — заморить червячка, поесть
mystery                                                  |тайна                                                                                                                                                               | 
witch                                                    |колдунья, ведьма                                                                                                                                                    | 
channel                                                  |пролив, канал (тж. перен., напр. TV)                                                                                                                                | 
hallway                                                  |прихожая ам.                                                                                                                                                        | 
consistent                                               |последовательный, стойкий, совместимый, согласующийся                                                                                                               | ~ with our principles — согласующийся с нашими принципами
hush                                                     |тишина, водворять тишину, заст. замолчать, Тише!                                                                                                                    | 
twin                                                     |близнец, двойник                                                                                                                                                    | 
lounge                                                   |праздное времяпрепровождение                                                                                                                                        | салон, комната для отдыха с удобными креслами, особ. гостиная в отеле, вестибюль
resistance                                               |сопротивление, отпор, противодействие прям. и перен.                                                                                                                | weak ~ — слабое сопротивление lowered ~ to infection — пониженная устойчивость к инфекции
chase                                                    |погоня, гнаться (за)                                                                                                                                                | 
coffin                                                   |гроб                                                                                                                                                                | 
discovery                                                |открытие, обнаружение, находка                                                                                                                                      | With the ~ of oil in the region, the situation changed. — После того как в регионе нашли нефть, ситуация изменилась One of the most important ~es was a line of massive limestone blocks — Одной из важнейших находок были выложенные в ряд массивные известняковые блоки
garage                                                   |гараж                                                                                                                                                               | 
leap (leapt, leaped)                                     |прыгать, скакать, перепрыгивать, прыжок, скачок                                                                                                                     | large ~s — длинные прыжки to ~ through a window — выпрыгнуть из окна to ~ (over) a hedge [a brook, a ditch] — перепрыгнуть через изгородь [через ручей, через канаву] look before you ~ — посл. семь раз отмерь, а один отрежь
downward(s)                                              |вниз                                                                                                                                                                | ~ movement — движение под уклон ~ line of descent — нисходящая генеалогическая линия the road runs ~ — дорога идёт под уклон children of seven and ~ — дети до семи лет, дети семи лет и меньше
exposure                                                 |подвергание (какому-л. воздействию), выставление, оставление (на солнце, под дождём)                                                                                | ~ to lead is known to damage the brains of young children — Известно, что воздействие свинца разрушает клетки головного мозга у маленьких детей At least two people died of ~ in Chicago overnight — По меньшей мере два человека умерли минувшей ночью в Чикаго от переохлаждения
clothing                                                 |одежда                                                                                                                                                              | the high cost of food and ~ - высокие цены на еду и одежду
crap                                                     |груб. дерьмо, испражнение, испражняться, гадить                                                                                                                     | "руг. глупость, вздор don't hand me that ~ — хватит чушь молоть! his speech is just a load of ~ — его речь — сплошная чушь to ~ a job up — изгадить /сорвать/ всё дело"
string                                                   |веревка, струна, ряд                                                                                                                                                | 
pretend                                                  |притворяться                                                                                                                                                        | 
glove                                                    |перчатка, надевать перчатку                                                                                                                                         | 
ambulance                                                |машина скор. помощи, врачебный пункт                                                                                                                                | 
fairly                                                   |честно, справедливо, довольно, весьма, ясно                                                                                                                         | to win /to gain/ smth ~ — получить что-л. честно we could see and hear ~ well — нам было довольно хорошо видно и слышно
continuous                                               |непрерывный, длительный                                                                                                                                             | 
rip                                                      |рвать(ся)                                                                                                                                                           | 
bartender                                                |бармен, буфетчик                                                                                                                                                    | 
coalition                                                |объединение, соединение, комбинация                                                                                                                                 | ~ government — коалиционное правительство
hollow                                                   |пустота, яма, низина, полый,вогнутый, разг. полностью, делать полость, делать вогнутым                                                                              | the village lay in a ~ of the hills — село находилось в лощине между холмами ~ tree — дуплистое дерево ~ tooth — зуб с дуплом /с полостью/ разг. to beat (all) ~ — разбить наголову /в пух и (в) прах/
porch                                                    |крыльцо, веранда                                                                                                                                                    | 
tale                                                     |рассказ, сказка                                                                                                                                                     | "twice told ~ — старая история hair-raising / harrowing ~ — страшная сказка или история (от которой ""волосы дыбом встают"") to narrate / tell a ~ — рассказать сказку"
resolve                                                  |решать, принимать решение                                                                                                                                           | The committee ~ed to authorize this step — Комитет принял решение разрешить это действие
racial                                                   |расовый                                                                                                                                                             | ~ segregation — расовая сегрегация
phase                                                    |фаза, стадия, период, этап, ступень развития                                                                                                                        | to begin / enter a ~ — вступить в фазу
attendant                                                |служитель (в музее, театре и т.п.)                                                                                                                                  | 
mumble                                                   |бормотать                                                                                                                                                           | "to ~ a prayer — бормотать молитву to ~ to oneself — бормотать что-то про себя to ~one's words — невнятно произносить, бормотать себе под нос to ~ through one's answer — ответить запинаясь"
